"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TIME","Select time","Value","Flag Codes","Flags"
"ITE3","Marche","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",4.386121,,
"ITE3","Marche","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",4.400038,,
"ITE3","Marche","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",3.56314,,
"ITE3","Marche","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",4.206195,,
"ITE3","Marche","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",5.363529,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",4.042185,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",4.069601,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",4.442127,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",3.157436,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",4.517509,,
"ITE3","Marche","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",6.127196,,
"ITE3","Marche","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",7.830369,,
"ITE3","Marche","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",5.432417,,
"ITE3","Marche","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",5.91339,,
"ITE3","Marche","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",5.38972,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",4.573375,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",4.923974,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",4.487419,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",4.707161,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",4.179562,,
"ITF5","Basilicata","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",6.092891,,
"ITF5","Basilicata","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",7.894757,,
"ITF5","Basilicata","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",7.876486,,
"ITF5","Basilicata","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",2.979151,,
"ITF5","Basilicata","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",5.606965,,
